player_id,year,stint,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,obp,slg,ops
daughja01,1990,1,TEX,AL,125,310,36,93,20,2,6,47,0,0,22,49,0,2,2,3,4,0.347,0.435,0.783
daultda01,1990,1,PHI,NL,143,459,62,123,30,1,12,57,7,1,72,72,9,2,3,4,6,0.367,0.416,0.783
davisal01,1990,1,SEA,AL,140,494,63,140,21,0,17,68,0,2,85,68,10,4,0,9,9,0.387,0.429,0.816
davisch01,1990,1,CAL,AL,113,412,58,109,17,1,12,58,1,2,61,89,4,0,0,3,14,0.357,0.398,0.755
daviser01,1990,1,CIN,NL,127,453,84,118,26,2,24,86,21,3,60,100,6,2,0,3,7,0.347,0.486,0.833
davisgl01,1990,1,HOU,NL,93,327,44,82,15,4,22,64,8,3,46,54,17,8,0,0,5,0.357,0.523,0.88
dawsoan01,1990,1,CHN,NL,147,529,72,164,28,5,27,100,16,2,42,65,21,2,0,8,12,0.358,0.535,0.893
deerro01,1990,1,ML4,AL,134,440,57,92,15,1,27,69,2,3,64,147,6,4,0,3,0,0.313,0.432,0.745
deshide01,1990,1,MON,NL,129,499,69,144,28,6,4,45,42,22,66,96,3,4,1,2,10,0.375,0.393,0.768
devermi01,1990,1,BAL,AL,108,367,48,88,18,1,12,49,13,12,28,48,0,0,4,4,10,0.291,0.392,0.683
diazed01,1990,1,ML4,AL,86,218,27,59,2,2,0,14,3,2,21,32,0,1,5,0,3,0.338,0.298,0.636
doranbi02,1990,1,HOU,NL,109,344,49,99,21,2,6,32,18,9,71,53,1,0,1,5,2,0.405,0.413,0.818
downibr01,1990,1,CAL,AL,96,330,47,90,18,2,14,51,0,0,50,45,2,6,0,4,11,0.374,0.467,0.841
duncama01,1990,1,CIN,NL,125,435,67,133,22,11,10,55,13,7,24,67,4,4,4,4,10,0.345,0.476,0.821
dunstsh01,1990,1,CHN,NL,146,545,73,143,22,8,17,66,25,5,15,87,1,3,4,6,9,0.283,0.426,0.709
dykstle01,1990,1,PHI,NL,149,590,106,192,35,3,9,60,33,5,89,48,14,7,2,3,5,0.418,0.441,0.859
eisenji01,1990,1,KCA,AL,142,496,61,139,29,7,5,51,12,14,42,51,2,1,2,4,7,0.335,0.397,0.732
elsteke01,1990,1,NYN,NL,92,314,36,65,20,1,9,45,2,0,30,54,2,1,1,6,4,0.274,0.363,0.637
espinal01,1990,1,NYA,AL,150,438,31,98,12,2,2,20,1,2,16,54,0,5,11,2,13,0.258,0.274,0.532
evansdw01,1990,1,BOS,AL,123,445,66,111,18,3,13,63,3,4,67,73,5,4,0,6,18,0.349,0.391,0.74
feldemi01,1990,1,ML4,AL,121,237,38,65,7,2,3,27,20,9,22,17,0,0,8,5,0,0.33,0.359,0.688
felixju01,1990,1,TOR,AL,127,463,73,122,23,7,15,65,13,8,45,99,0,2,2,5,4,0.328,0.441,0.769
fermife01,1990,1,CLE,AL,148,414,47,106,13,2,1,40,3,3,26,22,0,0,13,5,13,0.297,0.304,0.601
fernato01,1990,1,TOR,AL,161,635,84,175,27,17,4,66,26,13,71,70,4,7,2,6,17,0.352,0.391,0.742
fieldce01,1990,1,DET,AL,159,573,104,159,25,1,51,132,0,1,90,182,11,5,0,5,15,0.377,0.592,0.969
finlest01,1990,1,BAL,AL,142,464,46,119,16,4,3,37,22,9,32,53,3,2,10,5,8,0.304,0.328,0.632
fiskca01,1990,1,CHA,AL,137,452,65,129,21,0,18,65,7,2,61,73,8,7,0,1,12,0.378,0.451,0.829
fitzgmi02,1990,1,MON,NL,111,313,36,76,18,1,9,41,8,1,60,60,2,2,5,3,5,0.365,0.393,0.758
fletcsc01,1990,1,CHA,AL,151,509,54,123,18,3,4,56,1,3,45,63,3,3,11,5,10,0.304,0.312,0.617
francju01,1990,1,TEX,AL,157,582,96,172,27,1,11,69,31,10,82,83,3,2,2,2,12,0.383,0.402,0.785
frymatr01,1990,1,DET,AL,66,232,32,69,11,1,9,27,3,3,17,51,0,1,1,0,3,0.348,0.47,0.818
gaettga01,1990,1,MIN,AL,154,577,61,132,27,5,16,85,6,1,36,101,1,3,1,8,22,0.274,0.376,0.65
gagnegr01,1990,1,MIN,AL,138,388,38,91,22,3,7,38,8,8,24,76,0,1,8,2,5,0.28,0.361,0.64
galaran01,1990,1,MON,NL,155,579,65,148,29,0,20,87,10,1,40,169,8,4,0,5,14,0.306,0.409,0.715
gallemi01,1990,1,OAK,AL,140,389,36,80,13,2,3,34,5,5,35,50,0,4,17,2,13,0.277,0.272,0.549
gantnji01,1990,1,ML4,AL,88,323,36,85,8,5,0,25,18,3,29,19,0,2,4,0,10,0.328,0.319,0.647
gantro01,1990,1,ATL,NL,152,575,107,174,34,3,32,84,33,16,50,86,0,1,1,4,8,0.357,0.539,0.896
gerenbo01,1990,1,NYA,AL,110,277,21,59,7,0,8,31,0,0,13,73,1,5,6,2,7,0.259,0.325,0.584
gibsoki01,1990,1,LAN,NL,89,315,59,82,20,0,8,38,26,2,39,65,0,3,0,2,4,0.345,0.4,0.745
girarjo01,1990,1,CHN,NL,133,419,36,113,24,2,1,38,8,3,17,50,11,3,4,4,13,0.3,0.344,0.644
gladdda01,1990,1,MIN,AL,136,534,64,147,27,6,5,40,25,9,26,67,2,6,1,4,17,0.314,0.376,0.69
gracema01,1990,1,CHN,NL,157,589,72,182,32,1,9,82,15,6,59,54,5,5,1,8,10,0.372,0.413,0.785
greenmi01,1990,1,BOS,AL,159,610,71,181,30,6,14,73,8,7,65,43,12,4,0,3,19,0.367,0.434,0.801
greggto01,1990,1,ATL,NL,124,239,18,63,13,1,5,32,4,3,20,39,4,1,0,1,1,0.322,0.389,0.711
griffal01,1990,1,LAN,NL,141,461,38,97,11,3,1,35,6,3,29,65,11,2,6,4,5,0.258,0.254,0.512
griffke02,1990,1,SEA,AL,155,597,91,179,28,7,22,80,16,11,63,81,12,2,0,4,12,0.366,0.481,0.847
grissma02,1990,1,MON,NL,98,288,42,74,14,2,3,29,22,2,27,40,2,0,4,1,3,0.32,0.351,0.67
grubeke01,1990,1,TOR,AL,150,592,92,162,36,6,31,118,14,2,48,94,2,8,1,13,14,0.33,0.512,0.842
guerrpe01,1990,1,SLN,NL,136,498,42,140,31,1,13,80,1,1,44,70,14,1,0,11,14,0.334,0.426,0.76
guilloz01,1990,1,CHA,AL,160,516,61,144,21,4,1,58,13,17,26,37,8,1,15,5,6,0.312,0.341,0.653
gwynnto01,1990,1,SDN,NL,141,573,79,177,29,10,4,72,17,8,44,23,20,1,7,4,13,0.357,0.415,0.772
hallme01,1990,1,NYA,AL,113,360,41,93,23,2,12,46,0,0,6,46,2,2,0,3,7,0.272,0.433,0.706
harpebr01,1990,1,MIN,AL,134,479,61,141,42,3,6,54,3,2,19,27,2,7,0,4,20,0.328,0.432,0.76
harrile01,1990,1,LAN,NL,137,431,61,131,16,4,2,29,15,10,29,31,2,1,3,1,8,0.348,0.374,0.722
hassero01,1990,1,OAK,AL,94,254,18,54,7,0,5,22,0,0,27,29,3,1,1,3,3,0.288,0.299,0.587
hatchbi01,1990,1,CIN,NL,139,504,68,139,28,5,5,25,30,10,33,42,5,6,1,1,4,0.327,0.381,0.708
hayesch01,1990,1,PHI,NL,152,561,56,145,20,0,10,57,4,4,28,91,3,2,0,6,12,0.293,0.348,0.641
hayesvo01,1990,1,PHI,NL,129,467,70,122,14,3,17,73,16,7,87,81,16,4,0,10,10,0.375,0.413,0.788
heathmi02,1990,1,DET,AL,122,370,46,100,18,2,7,38,7,6,19,71,0,4,2,3,12,0.311,0.386,0.697
hendeda01,1990,1,OAK,AL,127,450,65,122,28,0,20,63,3,1,40,105,1,1,1,2,5,0.331,0.467,0.797
henderi01,1990,1,OAK,AL,136,489,119,159,33,3,28,61,65,10,97,60,2,4,2,2,13,0.439,0.577,1.016
herrto01,1990,1,PHI,NL,119,447,39,118,21,3,4,50,7,1,36,47,4,2,6,2,10,0.32,0.351,0.672
hilldo01,1990,1,CAL,AL,103,352,36,93,18,2,3,32,1,2,29,27,1,1,6,4,10,0.319,0.352,0.671
hillgl01,1990,1,TOR,AL,84,260,47,60,11,3,12,32,8,3,18,62,0,0,0,0,5,0.281,0.435,0.715
hornsa01,1990,1,BAL,AL,79,246,30,61,13,0,14,45,0,0,32,62,1,0,0,2,8,0.332,0.472,0.804
howelja02,1990,1,CAL,AL,105,316,35,72,19,1,8,33,3,0,46,61,5,1,1,2,3,0.326,0.37,0.696
hrbekke01,1990,1,MIN,AL,143,492,61,141,26,0,22,79,5,2,69,45,8,7,2,8,17,0.377,0.474,0.85
hudlere01,1990,2,SLN,NL,89,217,30,61,11,2,7,22,18,10,12,31,1,2,2,1,3,0.323,0.447,0.77
husonje01,1990,1,TEX,AL,145,396,57,95,12,2,0,28,12,4,46,54,0,2,7,3,8,0.32,0.28,0.6
incavpe01,1990,1,TEX,AL,153,529,59,123,27,0,24,85,3,4,45,146,5,9,0,4,18,0.302,0.42,0.721
jacksbo01,1990,1,KCA,AL,111,405,74,110,16,1,28,78,15,9,44,128,2,2,0,5,10,0.342,0.523,0.866
jacobbr01,1990,1,CLE,AL,155,553,77,162,24,4,14,75,1,4,63,58,6,2,2,4,20,0.365,0.427,0.792
jamesch02,1990,1,CLE,AL,140,528,62,158,32,4,12,70,4,3,31,71,4,4,3,3,11,0.341,0.443,0.784
jamesdi01,1990,1,CLE,AL,87,248,28,68,15,2,1,22,5,3,27,23,3,1,3,1,6,0.347,0.363,0.709
javiest01,1990,2,LAN,NL,104,276,56,84,9,4,3,24,15,7,37,44,2,0,6,2,6,0.384,0.399,0.783
jeffegr01,1990,1,NYN,NL,153,604,96,171,40,3,15,68,11,2,46,40,2,5,0,4,12,0.337,0.434,0.771
johnsho01,1990,1,NYN,NL,154,590,89,144,37,3,23,90,34,8,69,100,12,0,0,9,7,0.319,0.434,0.753
johnsla03,1990,1,CHA,AL,151,541,76,154,18,9,1,51,36,22,33,45,2,1,8,4,12,0.325,0.357,0.681
jordari02,1990,1,PHI,NL,92,324,32,78,21,0,5,44,2,0,13,39,6,5,0,4,9,0.277,0.352,0.629
josefe01,1990,1,OAK,AL,101,341,42,90,12,0,8,39,8,2,16,65,0,5,2,1,8,0.306,0.37,0.675
joynewa01,1990,1,CAL,AL,83,310,35,83,15,0,8,41,2,1,41,34,4,1,1,5,10,0.35,0.394,0.744
justida01,1990,1,ATL,NL,127,439,76,124,23,2,28,78,11,6,64,92,4,0,0,1,2,0.373,0.535,0.908
kellyro01,1990,1,NYA,AL,162,641,85,183,32,4,15,61,42,17,33,148,0,4,4,4,7,0.323,0.418,0.741
kennete02,1990,1,SFN,NL,107,303,25,84,22,0,2,26,1,2,31,38,7,0,3,2,7,0.342,0.37,0.712
kingemi01,1990,1,SFN,NL,105,207,24,61,7,1,0,24,6,1,12,19,0,1,5,1,1,0.335,0.338,0.673
kingje01,1990,1,PIT,NL,127,371,46,91,17,1,14,53,3,3,21,50,1,1,2,7,12,0.283,0.41,0.692
kittlro01,1990,1,CHA,AL,83,277,29,68,14,0,16,43,0,0,24,77,2,3,0,1,3,0.311,0.469,0.781
krukjo01,1990,1,PHI,NL,142,443,52,129,25,8,7,67,10,5,69,70,16,0,2,1,11,0.386,0.431,0.817
kunkeje01,1990,1,TEX,AL,99,200,17,34,11,1,3,17,2,1,11,66,0,2,5,0,7,0.221,0.28,0.501
lansfca01,1990,1,OAK,AL,134,507,58,136,15,1,3,50,16,14,45,50,4,6,2,4,10,0.333,0.32,0.652
larkiba01,1990,1,CIN,NL,158,614,85,185,25,6,7,67,30,5,49,49,3,7,7,4,14,0.358,0.396,0.753
larkige01,1990,1,MIN,AL,119,401,46,108,26,4,5,42,5,3,42,55,2,5,5,4,6,0.343,0.392,0.734
lavalmi01,1990,1,PIT,NL,96,279,27,72,15,0,3,31,0,3,44,20,8,2,4,1,6,0.362,0.344,0.706
leema02,1990,1,TOR,AL,117,391,45,95,12,4,6,41,3,1,26,90,0,0,1,3,9,0.288,0.34,0.628
lemkema01,1990,1,ATL,NL,102,239,22,54,13,0,0,21,0,1,21,22,3,0,4,2,6,0.286,0.28,0.567
lemonch01,1990,1,DET,AL,104,322,39,83,16,4,5,32,3,2,48,61,3,4,2,2,8,0.359,0.379,0.738
leonaje01,1990,1,SEA,AL,134,478,39,120,20,0,10,75,4,2,37,97,6,3,0,7,20,0.305,0.356,0.66
leyriji01,1990,1,NYA,AL,92,303,28,78,13,1,5,25,2,3,27,51,1,7,1,1,11,0.331,0.356,0.688
lindjo01,1990,1,PIT,NL,152,514,46,134,28,5,1,48,8,0,35,52,19,1,4,7,20,0.305,0.34,0.646
littogr01,1990,1,SFN,NL,93,204,17,50,9,1,1,24,1,0,11,45,0,1,2,2,5,0.284,0.314,0.598
maaske01,1990,1,NYA,AL,79,254,42,64,9,0,21,41,1,2,43,76,10,3,0,0,2,0.367,0.535,0.902
macfami01,1990,1,KCA,AL,124,400,37,102,24,4,6,58,1,0,25,69,2,7,1,6,9,0.306,0.38,0.686
macksh01,1990,1,MIN,AL,125,313,50,102,10,4,8,44,13,4,29,69,1,5,6,0,7,0.392,0.46,0.852
magadda01,1990,1,NYN,NL,144,451,74,148,28,6,6,72,2,1,74,55,4,2,4,10,11,0.417,0.457,0.874
maldoca01,1990,1,CLE,AL,155,590,76,161,32,2,22,95,3,5,49,134,4,5,0,7,13,0.33,0.446,0.776
manrifr01,1990,1,MIN,AL,69,228,22,54,10,0,5,29,2,0,4,35,0,2,1,2,8,0.254,0.346,0.601
