player_id,year,stint,team_id,league_id,pos,g
bosleth01,1990,1,TEX,AL,CF,1
bosleth01,1990,1,TEX,AL,DH,4
bosleth01,1990,1,TEX,AL,LF,7
bosleth01,1990,1,TEX,AL,OF,9
bosleth01,1990,1,TEX,AL,RF,1
bostoda01,1990,2,NYN,NL,CF,108
bostoda01,1990,1,CHA,AL,DH,3
bostoda01,1990,2,NYN,NL,LF,1
bostoda01,1990,1,CHA,AL,OF,1
bostoda01,1990,2,NYN,NL,OF,109
bostoda01,1990,1,CHA,AL,RF,1
bradlph01,1990,2,CHA,AL,CF,14
bradlph01,1990,1,BAL,AL,DH,2
bradlph01,1990,2,CHA,AL,DH,7
bradlph01,1990,1,BAL,AL,LF,70
bradlph01,1990,2,CHA,AL,LF,23
bradlph01,1990,1,BAL,AL,OF,70
bradlph01,1990,2,CHA,AL,OF,38
bradlph01,1990,2,CHA,AL,RF,6
bradlsc01,1990,1,SEA,AL,1B,1
bradlsc01,1990,1,SEA,AL,3B,5
bradlsc01,1990,1,SEA,AL,C,63
bradlsc01,1990,1,SEA,AL,DH,6
bragggl01,1990,1,ML4,AL,DH,2
bragggl01,1990,1,ML4,AL,LF,13
bragggl01,1990,2,CIN,NL,LF,26
bragggl01,1990,1,ML4,AL,OF,32
bragggl01,1990,2,CIN,NL,OF,60
bragggl01,1990,1,ML4,AL,RF,20
bragggl01,1990,2,CIN,NL,RF,35
breamsi01,1990,1,PIT,NL,1B,142
brettge01,1990,1,KCA,AL,1B,102
brettge01,1990,1,KCA,AL,3B,1
brettge01,1990,1,KCA,AL,DH,32
brettge01,1990,1,KCA,AL,LF,2
brettge01,1990,1,KCA,AL,OF,9
brettge01,1990,1,KCA,AL,RF,7
brewero01,1990,1,SLN,NL,1B,9
brilegr01,1990,1,SEA,AL,DH,4
brilegr01,1990,1,SEA,AL,LF,43
brilegr01,1990,1,SEA,AL,OF,107
brilegr01,1990,1,SEA,AL,RF,66
brockgr01,1990,1,ML4,AL,1B,115
brookhu01,1990,1,LAN,NL,OF,150
brookhu01,1990,1,LAN,NL,RF,151
brookto01,1990,1,CLE,AL,1B,2
brookto01,1990,1,CLE,AL,2B,21
brookto01,1990,1,CLE,AL,3B,35
brookto01,1990,1,CLE,AL,DH,1
brookto01,1990,1,CLE,AL,SS,3
brownje01,1990,1,CLE,AL,2B,139
brownma03,1990,1,BAL,AL,2B,3
brownma03,1990,1,BAL,AL,3B,2
brownma03,1990,1,BAL,AL,DH,4
brumlmi02,1990,1,SEA,AL,2B,6
brumlmi02,1990,1,SEA,AL,3B,3
brumlmi02,1990,1,SEA,AL,CF,1
brumlmi02,1990,1,SEA,AL,DH,1
brumlmi02,1990,1,SEA,AL,LF,1
brumlmi02,1990,1,SEA,AL,OF,2
brumlmi02,1990,1,SEA,AL,SS,47
brunato01,1990,2,BOS,AL,CF,1
brunato01,1990,2,BOS,AL,DH,7
brunato01,1990,1,SLN,NL,OF,17
brunato01,1990,2,BOS,AL,OF,121
brunato01,1990,1,SLN,NL,RF,17
brunato01,1990,2,BOS,AL,RF,121
bucknbi01,1990,1,BOS,AL,1B,15
buechst01,1990,1,TEX,AL,2B,4
buechst01,1990,1,TEX,AL,3B,88
buhneja01,1990,1,SEA,AL,CF,1
buhneja01,1990,1,SEA,AL,DH,10
buhneja01,1990,1,SEA,AL,OF,40
buhneja01,1990,1,SEA,AL,RF,39
burksel01,1990,1,BOS,AL,CF,143
burksel01,1990,1,BOS,AL,DH,6
burksel01,1990,1,BOS,AL,OF,143
bushra01,1990,1,MIN,AL,1B,6
bushra01,1990,1,MIN,AL,DH,29
bushra01,1990,1,MIN,AL,LF,2
bushra01,1990,1,MIN,AL,OF,32
bushra01,1990,1,MIN,AL,RF,31
butlebr01,1990,1,SFN,NL,CF,159
butlebr01,1990,1,SFN,NL,OF,159
cabrefr01,1990,1,ATL,NL,1B,48
cabrefr01,1990,1,ATL,NL,C,3
caldeiv01,1990,1,CHA,AL,1B,2
caldeiv01,1990,1,CHA,AL,DH,27
caldeiv01,1990,1,CHA,AL,LF,130
caldeiv01,1990,1,CHA,AL,OF,130
caldeiv01,1990,1,CHA,AL,RF,3
caminke01,1990,1,HOU,NL,3B,149
campusi01,1990,1,PHI,NL,CF,25
campusi01,1990,1,PHI,NL,LF,16
campusi01,1990,1,PHI,NL,OF,47
campusi01,1990,1,PHI,NL,RF,7
canalge01,1990,1,ML4,AL,1B,6
canalge01,1990,1,ML4,AL,DH,3
candaca01,1990,1,HOU,NL,2B,49
candaca01,1990,1,HOU,NL,3B,1
candaca01,1990,1,HOU,NL,CF,12
candaca01,1990,1,HOU,NL,LF,36
candaca01,1990,1,HOU,NL,OF,58
candaca01,1990,1,HOU,NL,RF,13
