manager_id,year,team_id
robinfr02,1990,BAL
morgajo01,1990,BOS
raderdo02,1990,CAL
torboje01,1990,CHA
mcnamjo99,1990,CLE
andersp01,1990,DET
wathajo01,1990,KCA
kellyto01,1990,MIN
trebeto99,1990,ML4
dentbu01,1990,NYA
merrist99,1990,NYA
larusto01,1990,OAK
lefebji01,1990,SEA
valenbo02,1990,TEX
gastoci01,1990,TOR
nixonru01,1990,ATL
coxbo01,1990,ATL
zimmedo01,1990,CHN
pinielo01,1990,CIN
howear01,1990,HOU
lasorto01,1990,LAN
rodgebu01,1990,MON
johnsda02,1990,NYN
harrebu01,1990,NYN
leyvani99,1990,PHI
leylaji99,1990,PIT
mckeoja99,1990,SDN
riddogr99,1990,SDN
craigro01,1990,SFN
herzowh01,1990,SLN
schoere01,1990,SLN
torrejo01,1990,SLN
robinfr02,1991,BAL
oatesjo01,1991,BAL
morgajo01,1991,BOS
raderdo02,1991,CAL
rodgebu01,1991,CAL
torboje01,1991,CHA
mcnamjo99,1991,CLE
hargrmi01,1991,CLE
andersp01,1991,DET
wathajo01,1991,KCA
schaebo99,1991,KCA
mcraeha01,1991,KCA
kellyto01,1991,MIN
trebeto99,1991,ML4
merrist99,1991,NYA
larusto01,1991,OAK
lefebji01,1991,SEA
valenbo02,1991,TEX
gastoci01,1991,TOR
tenacge01,1991,TOR
gastoci01,1991,TOR
coxbo01,1991,ATL
zimmedo01,1991,CHN
altobjo01,1991,CHN
essiaji01,1991,CHN
pinielo01,1991,CIN
howear01,1991,HOU
lasorto01,1991,LAN
rodgebu01,1991,MON
runneto01,1991,MON
harrebu01,1991,NYN
cubbami01,1991,NYN
leyvani99,1991,PHI
fregoji01,1991,PHI
leylaji99,1991,PIT
riddogr99,1991,SDN
craigro01,1991,SFN
torrejo01,1991,SLN
oatesjo01,1992,BAL
hobsobu01,1992,BOS
rodgebu01,1992,CAL
wathajo01,1992,CAL
rodgebu01,1992,CAL
lamonge01,1992,CHA
hargrmi01,1992,CLE
andersp01,1992,DET
mcraeha01,1992,KCA
kellyto01,1992,MIN
garneph01,1992,ML4
showabu99,1992,NYA
larusto01,1992,OAK
plummbi01,1992,SEA
valenbo02,1992,TEX
harrato01,1992,TEX
gastoci01,1992,TOR
coxbo01,1992,ATL
lefebji01,1992,CHN
pinielo01,1992,CIN
howear01,1992,HOU
lasorto01,1992,LAN
runneto01,1992,MON
aloufe01,1992,MON
torboje01,1992,NYN
fregoji01,1992,PHI
leylaji99,1992,PIT
riddogr99,1992,SDN
rigglji99,1992,SDN
craigro01,1992,SFN
torrejo01,1992,SLN
oatesjo01,1993,BAL
hobsobu01,1993,BOS
rodgebu01,1993,CAL
lamonge01,1993,CHA
hargrmi01,1993,CLE
andersp01,1993,DET
mcraeha01,1993,KCA
kellyto01,1993,MIN
garneph01,1993,ML4
showabu99,1993,NYA
larusto01,1993,OAK
pinielo01,1993,SEA
kenneke99,1993,TEX
gastoci01,1993,TOR
coxbo01,1993,ATL
lefebji01,1993,CHN
perezto01,1993,CIN
johnsda02,1993,CIN
baylodo01,1993,COL
lachere01,1993,FLO
howear01,1993,HOU
lasorto01,1993,LAN
aloufe01,1993,MON
torboje01,1993,NYN
greenda02,1993,NYN
fregoji01,1993,PHI
leylaji99,1993,PIT
rigglji99,1993,SDN
bakerdu01,1993,SFN
torrejo01,1993,SLN
oatesjo01,1994,BAL
hobsobu01,1994,BOS
rodgebu01,1994,CAL
lachema01,1994,CAL
lamonge01,1994,CHA
hargrmi01,1994,CLE
andersp01,1994,DET
mcraeha01,1994,KCA
kellyto01,1994,MIN
garneph01,1994,ML4
showabu99,1994,NYA
larusto01,1994,OAK
pinielo01,1994,SEA
kenneke99,1994,TEX
gastoci01,1994,TOR
coxbo01,1994,ATL
